File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-4481-0001_Citizen_Petition_from_Macleods_Pharmaceuticals_Lim.pdf,"September 25, 2019",,Macleods Pharmaceuticals Limited,"No external representation mentioned. Petition signed by Pooja Kulkarni, GM, Regulatory Affairs at Macleods. A U.S. agent (Mr. Andrej Gasperlin, AB Pharmaceuticals, LLC) is listed","Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR 10.20
- 21 CFR 10.30
- 21 CFR 314.93
- 21 CFR § 25.31(a)
- 21 CFR 25.15(d)",Reference standard designation in the Orange Book for Clindamycin phosphate topical solution 1%,"Designate ANDA #064050 (Clindamycin phosphate topical solution 1% by Perrigo New York Inc.) as a reference standard, or designate a suitable alternative","The current reference listed drug (CLEOCIN T by Pharmacia and Upjohn Co) is not readily available in the market. Therefore, ANDA applicants face difficulty obtaining sufficient quantities for bioequivalence testing. ANDA #064050 is the market leader and meets the requirements for designation as a reference standard",
FDA-2019-P-5943-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"December 16, 2019",,"Not explicitly named. Submitted by Hyman, Phelps & McNamara, P.C. on behalf of an unnamed client","Yes – submitted by Kurt R. Karst of Hyman, Phelps & McNamara, P.C., representing an unspecified client","505(j)(2)(C) of the FDC Act
- 21 C.F.R. § 314.93
- 21 C.F.R. §§ 10.20 and 10.30
- FDC Act § 505(j)(2)(A)(iii)
- 21 C.F.R. § 25.31 (Environmental Impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic Impact info)","Suitability of submitting an ANDA for Doxycycline Hyclate Tablets in 20 mg, 50 mg, 75 mg, and 150 mg strengths based on VIBRA-TABS 100 mg as the Reference Listed Drug (RLD)","	FDA should declare that Doxycycline Hyclate Tablets (20 mg, 50 mg, 75 mg, 150 mg) are suitable for submission in an Abbreviated New Drug Application (ANDA)","Proposed strengths are consistent with existing dosing guidelines in VIBRA-TABS labeling
- No clinical investigations are needed, as only strength (not formulation or use) is changing
- Enhances patient compliance
- Pediatric Research Equity Act (PREA) does not apply to this petition
- No safety or efficacy concerns from changing tablet strength alone",
FDA-2019-P-2038-0001_Citizen_Petition_from_American_Dental_Association.pdf,"April 25, 2019",,American Dental Association (ADA),"Not Mentioned – Submitted directly by the ADA through its Executive Director, Kathleen T. O’Loughlin, D.M.D., M.P.H.","21 C.F.R. § 10.30 (Citizen petition regulation)
- 21 U.S.C. § 321(g) (Definition of drug)
- 21 U.S.C. § 393(b) (Mission of FDA)","The petition comments on FDA’s current enforcement policy that allows silver diamine fluoride (SDF) to be marketed as an unapproved drug, specifically for caries prevention, without approved New Drug Applications (NDAs).","	ADA requests that the FDA:
• Enforce the requirement that SDF products used for caries prevention must have an approved NDA
• Take action against entities that market SDF without appropriate approval
• Clarify that SDF used for caries prevention is a drug under the FDCA","SDF products are being used off-label for caries prevention, but some are marketed as though they are FDA-approved for that indication, which is misleading.
- The use of SDF is growing, and the lack of regulatory clarity could impact patient safety.
- ADA believes this violates the FDCA and that marketing such products without approval undermines public health objectives.
- FDA enforcement is necessary to ensure consistency, public trust, and patient safety.",
FDA-2019-P-6099-0003_Letter_from_George_M__Stone_on_behalf_of_Patients_.pdf,"April 16, 2020",,Patients for Access to Advanced Therapy for Hemophilia (PAATH),"Submitted by George M. Stone, Jr., patient and advocate, on behalf of PAATH. No law firm or external representative indicated.","21 U.S.C. § 352 (Misbranded drugs and devices)
- 21 C.F.R. § 25.31 (Categorical exclusion for environmental impact)","FDA’s enforcement response (or lack thereof) to a Bayer recall of mislabeled hemophilia drugs (Kogenate® FS and Jivi®), and the agency’s oversight of mislabeled/expired product handling","Petitioners request FDA to pursue enforcement actions (e.g., administrative orders or consent agreements) against Bayer U.S. and Bayer AG for:
- Mislabeling ~1,000 vials of Kogenate FS
- Improper storage of hemophilia treatment products
- Releasing expired products into the U.S. market","Patient safety risks from mislabeled and expired hemophilia drugs
- Risk of patients developing inhibitors to FVIII from wrong medication
- Historical concerns about Bayer’s ethical practices (e.g., 1980s HIV contamination case)
- Demand for transparency and accountability to prevent recurrence",from 2020?
FDA-2019-P-5463-0001_Citizen_Petition_from_Sheppard__Mullin__Richter___.pdf,"November 18, 2019",,"Allison Fulton, Sheppard, Mullin, Richter & Hampton LLP","Representing Apicore Pharmaceutical Private, Ltd.","Federal Food, Drug, and Cosmetic Act (FDCA)
- 21 C.F.R. § 10.30
- 21 C.F.R. §§ 25.30(h) and 25.31(a) (environmental impact)",Approval of any Abbreviated New Drug Application (ANDA) (or supplement) for Penicillamine capsules,"Require that any ANDA (or supplement) for Penicillamine capsules be approved only if the bioequivalence study uses a method that:
• Introduces a stabilizing agent to prevent Penicillamine oxidation post-sample collection
• Measures both copper-bound and circulating free Penicillamine","Current methods (e.g., TCA crash) allow post-sample degradation of Penicillamine, underestimating bioequivalence
- Apicore's method uses stabilizers to prevent oxidation and measures copper-bound Penicillamine, providing a more accurate pharmacokinetic profile
- Failure to use such methods risks FDA approval of non-bioequivalent drugs with potentially reduced therapeutic benefit",
FDA-2019-P-5791-0001_Citizen_Petition_from_Guvam_Pharma_LLC_.pdf,"December 6, 2019",,Guvam Pharma LLC,Not Mentioned,"505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FDC Act)
- 21 C.F.R. §§ 10.20, 10.30, 314.93
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)",Determination of suitability for submission of an Abbreviated New Drug Application (ANDA) for Phenazopyridine Hydrochloride Tablets differing in composition from RLDs,"That FDA determine Phenazopyridine Hydrochloride Tablets (50 mg, 100 mg, 200 mg) is suitable for submission as an ANDA","The proposed drug differs from the RLD only in the omission of the second active ingredient
- RLDs (e.g., Azo Gantanol, Azo Gantrisin) were not withdrawn for safety or efficacy reasons
- Approved NDAs support safety and efficacy of Phenazopyridine as monotherapy
- Proposed strengths match approved labeling
- Pediatric assessment is not applicable due to unchanged indications and dosage form",
FDA-2019-P-5800-0001_Citizen_Petition_from_Akin_Gump_Strauss_Hauer___Fe.pdf,"December 6, 2019",,Akin Gump submitted the petition on behalf of Verax Biomedical Incorporated (“Verax”),Akin Gump Strauss Hauer & Feld LLP (law firm) ,"21 C.F.R. § 10.25(a)
- 21 C.F.R. §§ 25.30, 25.31, and 25.34
- 21 C.F.R. § 606.145(a)
- 5 U.S.C. § 706(2)(A)","FDA’s Final Guidance titled ""Bacterial Risk Control Strategies for Blood Collection Establishments and Transfusion Services to Enhance the Safety and Availability of Platelets for Transfusion” issued in September 2019. Specifically, the petition critiques FDA’s inclusion and treatment of Large Volume Delayed Sampling (LVDS) as a “safety measure” method for platelet storage and transfusion beyond Day 5","Verax requests that the FDA:
(1) Refrain from clearing, approving, recommending, or designating LVDS or similar bacterial detection technologies as “safety measures” without statistically conclusive supporting data.
(2) Apply consistent regulatory standards requiring clinical evidence from 25,000+ unit studies demonstrating safety and effectiveness for Day 5 and Day 7 platelet storage methods","FDA’s endorsement of LVDS lacks statistically significant data proving safety and effectiveness.
- Existing LVDS studies (e.g., in the UK) are insufficient due to small sample sizes, inclusion of unlicensed platelet types, and use of passive surveillance that underreports septic events.
- Approval without robust clinical data undermines patient safety and creates an uneven regulatory standard compared to previously cleared technologies such as the PGD Test",
FDA-2019-P-4363-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"September 17, 2019",,"Hyman, Phelps & McNamara, P.C. submitted the petition on behalf of an unnamed client. ","Hyman, Phelps & McNamara, P.C. ","Section 505(j)(2)(C) of the FDC Act
- 21 C.F.R. § 314.93
- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)","Determination of suitability for submission of Cefazolin for Injection USP, 2 g vial, via various administration routes (IM, IV bolus, IV infusion) under an ANDA ","That the FDA determine Cefazolin for Injection USP, 2 g vial (administered intramuscularly, by IV bolus, and IV infusion), is suitable for submission in an Abbreviated New Drug Application (ANDA) ","The proposed 2 g strength is consistent with approved labeling (which permits doses up to 12 g/day).
- Literature supports 2 g dosing.
- Enhances flexibility for administration.
- Improves safety in drug preparation (fewer vials needed, reduced risk of contamination).
- PREA does not apply because the petition only concerns strength change, not new indications or formulations.",
FDA-2019-P-5691-0006_Amendment_from_Foley___Lardner__LLP.pdf,"November 9, 2021",,"Exela Pharma Sciences, LLC",Foley & Lardner LLP,"21 C.F.R. § 314.94(a)(9)(iii)
- 21 C.F.R. § 320.22(b)(1)
- 21 U.S.C. § 355(j)",FDA’s approval standards and policies for ANDA submissions for Sodium Nitrite and Sodium Thiosulfate injections intended to be combined and used for cyanide poisoning treatment.,"FDA should require applicants submitting ANDAs for sodium nitrite and sodium thiosulfate for cyanide antidote use to:
- Submit evidence ensuring both products are co-packaged
- Demonstrate that they will be administered together in clinical use
- Provide labeling that reflects intended co-administration","The two drugs are only effective when used together as an antidote to cyanide poisoning.
- Separate packaging and administration might compromise clinical outcomes.
- Exela asserts that FDA must enforce stricter standards to ensure patient safety and avoid confusion or misuse.",
FDA-2019-P-5833-0001_Citizen_Petition_for_Archway_Apothecary__LLC.pdf,"December 10, 2019",,"Archway Apothecary, LLC",Not Mentioned,"Title 21 of the Code of Federal Regulations; Section 503A of the Federal Food, Drug, and Cosmetic Act","Proposed amendment to the ""Bulk List of Drug Substances That Can Be Used to Compound Drug Products in Accordance with Section 503A""—specifically, the removal of Nicotinamide Adenine Dinucleotide (NAD) from the list",Modify the proposed amendment to keep NAD on the 503A list for at least 5 more years to allow for further safety and efficacy studies,"NAD is essential for cellular function and has been used safely for many years. It shows promise in treating addiction by reducing cravings for alcohol and opioids. Removing NAD would hinder access to a valuable therapeutic tool. The lack of IP protection makes commercial drug approval economically unfeasible, making compounding the only viable option",
FDA-2019-P-5535-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,"Printed November 20, 2019; Stamped November 21, 2019",," Foley & Lardner LLP is submitting the petition on behalf of a client, whose name is not disclosed in the document. Referred to as “our client” throughout",Foley & Lardner LLP,"505(j)(2)(C) of the FDCA
- 21 C.F.R. § 314.93
- 21 C.F.R. § 25.31(a)","Requesting FDA to allow submission of an ANDA for a drug formulation not identical to the Reference Listed Drug (RLD), specifically pantoprazole sodium for oral suspension","That the Commissioner determine an ANDA may be submitted for pantoprazole sodium (20 mg and 40 mg enteric granules) in unit dose capsules packaged in bottles, instead of unit dose packets in cartons","No change in dose, use, or administration method.
- Proposed capsule format improves pediatric use, enabling a 20 mg dose unavailable in RLD.
- Capsule swallowing poses no safety issue since similar dosage forms exist.
- Instructions will be updated for clarity.
- Capsules are not expected to be larger than typical marketed forms",
